goos: linux
goarch: amd64
pkg: hmcalister/opusbenchmark
cpu: AMD Ryzen 5 3600 6-Core Processor              
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_40000000-12         	    1093	   1071494 ns/op	      40 B/op	       2 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_40000000-12         	    1128	   1083337 ns/op	      40 B/op	       2 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_40000000-12         	    1102	   1080701 ns/op	      40 B/op	       2 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_40000000-12         	    1123	   1080142 ns/op	      40 B/op	       2 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_40000000-12         	    1113	   1073554 ns/op	      40 B/op	       2 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_60000000-12         	      27	  42689272 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_60000000-12         	      26	  44039704 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_60000000-12         	      26	  43597356 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_60000000-12         	      26	  43625827 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_60000000-12         	      26	  43568540 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_60000000-12         	      27	  43474251 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_60000000-12         	      26	  43683302 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_60000000-12         	      27	  43840396 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_60000000-12         	      27	  43852813 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_60000000-12         	      26	  44053237 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_60000000-12         	    1111	   1091345 ns/op	      40 B/op	       2 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_60000000-12         	    1094	   1061320 ns/op	      40 B/op	       2 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_60000000-12         	    1102	   1060129 ns/op	      40 B/op	       2 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_60000000-12         	    1135	   1054532 ns/op	      40 B/op	       2 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_60000000-12         	    1138	   1052883 ns/op	      40 B/op	       2 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_60000000-12         	    1125	   1065888 ns/op	      40 B/op	       2 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_60000000-12         	    1119	   1061750 ns/op	      40 B/op	       2 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_60000000-12         	    1132	   1055366 ns/op	      40 B/op	       2 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_60000000-12         	    1131	   1054794 ns/op	      40 B/op	       2 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_60000000-12         	    1123	   1060461 ns/op	      40 B/op	       2 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_20000000-12         	      13	  88603076 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_20000000-12         	      13	  87911024 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_20000000-12         	      13	  90109492 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_20000000-12         	      13	  89287978 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_20000000-12         	      13	  89100614 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_20000000-12         	      12	  90555763 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_20000000-12         	      13	  90183719 ns/op	       0 B/op	       0 allocs/op
