goos: linux
goarch: amd64
pkg: hmcalister/opusbenchmark
cpu: AMD Ryzen 5 3600 6-Core Processor              
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_40000000-12         	     276	   4318740 ns/op	 3089971 B/op	    2746 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_40000000-12         	     280	   4292398 ns/op	 3089966 B/op	    2746 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_40000000-12         	     274	   4334544 ns/op	 3089966 B/op	    2746 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_40000000-12         	     282	   4305173 ns/op	 3089967 B/op	    2746 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_40000000-12         	     280	   4273512 ns/op	 3089972 B/op	    2746 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_40000000-12         	     278	   4309666 ns/op	 3089968 B/op	    2746 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_60000000-12         	      10	 100735996 ns/op	 1125331 B/op	    1990 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_60000000-12         	      12	 100029266 ns/op	 1110248 B/op	    1991 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_60000000-12         	      12	  97229940 ns/op	 1110256 B/op	    1991 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_60000000-12         	      12	  98200911 ns/op	 1110248 B/op	    1991 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_60000000-12         	      12	  99485871 ns/op	 1110248 B/op	    1991 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_60000000-12         	      12	  98174693 ns/op	 1110248 B/op	    1991 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_60000000-12         	      10	 101585813 ns/op	 1125321 B/op	    1990 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_60000000-12         	      10	 102366287 ns/op	 1125321 B/op	    1990 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_60000000-12         	      12	  99650491 ns/op	 1110248 B/op	    1991 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_60000000-12         	      12	  98923951 ns/op	 1110249 B/op	    1991 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_60000000-12         	     252	   4737209 ns/op	 3092140 B/op	    1822 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_60000000-12         	     252	   4694095 ns/op	 3092144 B/op	    1822 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_60000000-12         	     255	   4674601 ns/op	 3092148 B/op	    1822 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_60000000-12         	     256	   4660315 ns/op	 3092145 B/op	    1822 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_60000000-12         	     256	   4677795 ns/op	 3092145 B/op	    1822 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_60000000-12         	     258	   4672721 ns/op	 3092148 B/op	    1822 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_60000000-12         	     248	   4775025 ns/op	 3092143 B/op	    1822 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_60000000-12         	     255	   4695874 ns/op	 3092146 B/op	    1822 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_60000000-12         	     250	   4797346 ns/op	 3092144 B/op	    1822 allocs/op
